Unnamed: 0,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
31,11.387999999999998,23.0,1.8699,163.9344,1.3462,223.0,39.071,192.0,14.8434,13.0703,7.0352,4.0,-13.4219,925.7813,4.565,60.929,143.0,8.4756,12.8856,15.7345,43.991,3.866,0.5113,74.7955,42.2879,64.0,32.0,28.0,163.0,193.0,288.0,1.8438,4.25,7.8125,-2.5273,11.5,115.8125,-8.25,2.8594,-0.5313,928.4668,1060.6079,24.5,0.6731,-1.2656,25.0313,68.5,0.3350499999999999,20865.0,l
32,11.745,19.0,1.8437,166.4355,1.3094,220.0,38.8889,212.0,17.1018,15.75,6.6641,5.0,-11.9531,1182.6782,4.5545,61.0264,140.0,8.3535,13.3164,16.186,44.5909,3.8075,0.5215,75.4647,42.715,63.0,34.0,25.0,161.0,181.0,304.0,0.9102,6.5,9.9375,-1.7891,11.25,103.9531,6.8125,8.0938,13.0156,1183.5938,918.6401,25.5,0.6547,7.5625,22.625,63.9063,0.20275,16778.0,r
33,12.119999999999996,24.0,1.8805,164.3836,1.3568,215.0,41.0959,197.0,16.9971,14.6484,8.6211,5.0,-11.0781,786.0718,4.7907,58.9041,150.0,9.2403,13.6777,16.5189,45.6279,3.883,0.4995,76.1445,43.1489,76.0,32.0,28.0,155.0,193.0,284.0,1.5469,5.5,8.625,-2.4766,11.5,116.8594,-5.5781,2.0781,2.375,1074.8291,999.2065,24.5,0.6784,1.6406,21.75,67.5938,0.3472499999999999,21597.0,l
34,12.466,20.0,1.8517,170.9402,1.3135,217.0,38.1766,196.0,17.6318,15.75,7.9258,6.0,-17.1875,1388.2446,4.47,61.8234,134.0,7.6384,13.7325,16.8039,45.2074,3.8227,0.5537,77.1102,43.7652,79.0,26.0,26.0,165.0,186.0,286.0,0.1484,6.0625,11.0,-2.4375,12.0,107.6406,7.0938,6.2344,10.2188,1390.9302,902.5269,25.5,0.6567,7.0,20.8594,64.2969,0.2147666666666667,17499.0,r
35,12.849999999999998,25.0,1.877,163.9344,1.3638,227.0,37.9781,185.0,15.2511,12.7227,8.4102,4.0,-15.8906,926.9409,4.4493,62.0219,139.0,7.9123,12.4971,15.3948,43.2159,3.8841,0.5227,74.4336,42.057,66.0,32.0,32.0,163.0,189.0,286.0,1.543,4.875,7.625,-2.6406,11.0,114.0938,-9.875,-0.3906,-3.0625,943.1763,900.6958,24.5,0.6819,-3.0781,25.5313,65.2813,0.3594166666666666,22327.0,l
36,13.168,21.0,1.8356,165.0619,1.3054,219.0,39.6694,211.0,15.949,14.5469,6.5391,6.0,-12.5156,1161.8652,4.6393,60.2476,144.0,8.857,13.3965,16.1786,44.7945,3.7896,0.5046,75.091,42.4765,59.0,30.0,26.0,163.0,188.0,302.0,0.8047,6.375,10.3125,-2.1367,12.0,108.5313,6.4531,6.0938,10.7188,1162.1704,937.1338,25.5,0.6527,6.2969,21.5,65.3281,0.2264666666666666,18201.0,r
37,13.581999999999995,26.0,1.884,165.7459,1.3673,209.0,42.2652,160.0,16.8306,13.8984,9.4922,7.0,-12.4531,954.2847,4.9282,57.7348,153.0,9.5341,14.374,17.2462,46.9378,3.8864,0.498,77.4236,43.9652,86.0,20.0,28.0,161.0,189.0,284.0,1.1563,6.9375,10.375,-3.0508,10.5,114.1563,-4.2656,0.6719,0.0,963.562,1029.1138,24.5,0.6836,-2.2031,16.6406,64.9219,0.3716166666666666,23059.0,l
38,13.895,22.0,1.8356,164.3836,1.3094,216.0,40.8219,207.0,17.0535,15.2422,7.6484,5.0,-16.4375,1264.1602,4.7593,59.1781,149.0,9.4433,13.6852,16.4193,45.4167,3.7876,0.4897,75.2568,42.5823,52.0,27.0,26.0,163.0,196.0,304.0,0.7266,6.5625,10.5,-2.3242,12.0,111.2656,7.2031,5.125,6.3906,1264.6484,904.1748,25.5,0.6547,7.8125,22.6719,64.4219,0.2385833333333333,18928.0,r
39,14.305999999999996,27.0,1.877,163.9344,1.3673,225.0,38.5246,170.0,15.3486,13.543,7.2227,4.0,-11.3594,886.4746,4.5067,61.4754,141.0,8.118,12.6799,15.5617,43.6,3.8827,0.518,74.6707,42.2083,60.0,34.0,30.0,161.0,201.0,282.0,0.9492,4.5,7.75,-2.5703,10.75,120.2344,-9.9688,-2.875,-1.5625,905.7007,844.9097,24.5,0.6836,-2.8906,26.7813,62.0,0.3836833333333332,23783.0,l
40,14.625000000000002,23.0,1.8276,167.364,1.3054,218.0,39.1061,189.0,17.3271,15.75,7.2227,5.0,-14.2656,1501.8311,4.578,60.8089,140.0,8.3789,13.5868,16.4401,45.0,3.7717,0.5201,75.691,42.8594,63.0,28.0,24.0,166.0,195.0,292.0,0.582,7.0,11.75,-2.1641,12.0,116.0,7.7188,5.875,7.2188,1504.5166,960.2051,25.5,0.6527,5.5781,22.2969,65.3438,0.25075,19658.0,r
41,15.037999999999997,28.0,1.8945,163.9344,1.3814,217.0,40.7104,183.0,17.6182,14.2734,10.3281,6.0,-12.5,992.0654,4.7465,59.2896,149.0,8.9598,13.4195,16.2898,45.2074,3.9146,0.504,75.9855,43.0474,72.0,28.0,26.0,163.0,193.0,286.0,1.418,6.3125,8.75,-2.8555,10.75,118.2031,-6.5625,1.4688,-1.7656,1012.3901,892.7612,24.5,0.6907,-1.2969,21.4531,65.7656,0.3958833333333332,24515.0,l
42,15.342000000000002,24.0,1.8396,164.3836,1.3175,218.0,40.274,195.0,12.6428,11.5313,5.1836,6.0,-14.8594,872.8027,4.6972,59.726,147.0,9.1407,13.468,16.2249,45.0,3.7975,0.4954,75.0515,42.4513,60.0,28.0,27.0,163.0,197.0,293.0,1.6719,5.0,8.6875,-2.3711,11.25,116.9688,5.4688,4.9688,6.7188,917.2363,941.4673,25.5,0.6587,7.5625,21.1719,66.0313,0.2627,20375.0,r
43,15.769999999999996,29.0,1.8805,162.6016,1.3743,221.0,40.1084,170.0,16.3837,13.7031,8.9805,4.0,-11.7969,948.9746,4.6787,59.8916,148.0,8.8864,13.0154,15.8188,44.3891,3.8873,0.4973,74.8573,42.3273,58.0,32.0,30.0,159.0,199.0,290.0,0.8086,5.3125,8.375,-2.5547,10.75,120.5469,-9.6094,-1.8125,0.1563,956.665,986.2671,24.5,0.6872,-3.75,26.0313,63.625,0.4080833333333332,25247.0,l
44,16.072,25.0,1.8396,164.1587,1.3255,221.0,39.4521,193.0,14.6357,12.5703,7.4961,4.0,-12.5313,881.897,4.6154,60.4651,144.0,8.7249,13.1616,15.9293,44.3891,3.7995,0.5023,74.6571,42.1996,61.0,28.0,30.0,163.0,190.0,296.0,1.0547,6.125,9.6875,-2.3789,11.25,111.4844,6.3281,7.1406,7.3438,915.7104,834.5947,25.5,0.6628,8.7031,24.5156,62.7813,0.2748666666666667,21105.0,r
45,16.507999999999992,30.0,1.8629,150.7538,1.3778,211.0,46.9849,162.0,15.2265,13.4648,7.1094,4.0,-12.1875,842.5903,5.545,53.0151,187.0,13.9809,13.8054,16.0838,46.4929,3.8426,0.3637,72.7745,40.9981,4.0,32.0,30.0,149.0,245.0,308.0,1.3359,4.25,8.25,-2.5586,11.5,120.3281,-9.2813,-2.7188,0.8438,873.1079,899.231,24.5,0.6889,-6.5313,27.3438,57.5938,0.4203833333333332,25985.0,l
46,16.803,26.0,1.8356,163.4877,1.3255,216.0,41.1444,205.0,15.7896,13.7656,7.7344,5.0,-16.9375,1203.125,4.7963,58.8556,151.0,9.5784,13.6595,16.357,45.4167,3.7876,0.4818,75.0214,42.4321,56.0,27.0,26.0,163.0,197.0,299.0,1.0078,6.0,9.8125,-2.5,11.75,111.8438,6.1719,4.4844,6.5313,1204.7729,861.084,25.5,0.6628,8.7188,22.2031,64.0156,0.28705,21836.0,r
47,17.30399999999999,31.0,1.8664,157.4803,1.3849,222.0,41.7323,144.0,17.6038,15.75,7.8633,5.0,-10.6094,1083.1299,4.8649,58.2677,159.0,10.1531,12.8142,15.3793,44.1892,3.8578,0.4481,73.063,41.1822,48.0,24.0,26.0,172.0,215.0,283.0,0.5469,6.6875,11.5,-3.1133,11.25,117.4219,-6.625,-0.7344,0.6094,1089.1724,1090.8813,24.5,0.6924,-3.6875,23.8438,66.9375,0.4336499999999998,26781.0,l
48,17.537,27.0,1.8396,165.5172,1.3335,227.0,37.2928,201.0,14.9391,12.8789,7.5703,5.0,-13.7813,1033.2031,4.3877,62.6207,135.0,7.6361,12.6388,15.5138,43.2159,3.8037,0.5288,74.2935,41.9676,55.0,36.0,28.0,163.0,194.0,292.0,1.25,5.25,8.75,-1.957,11.5,114.4531,7.375,6.2813,8.6875,1040.5884,956.4819,25.5,0.6668,6.1563,24.3594,64.1406,0.2992833333333333,22570.0,r
49,18.065999999999992,32.0,1.8594,160.8579,1.3849,224.0,39.9464,125.0,16.7723,13.9961,9.2422,5.0,-14.4844,937.5,4.6607,60.0536,149.0,8.9374,12.7313,15.4281,43.7946,3.8441,0.4822,73.6372,41.5487,58.0,29.0,30.0,165.0,199.0,287.0,0.8828,5.6875,8.875,-2.3125,11.25,120.7188,-7.75,-1.4844,2.4219,939.3311,1049.4995,24.5,0.6924,-1.875,23.1406,68.4531,0.4463499999999998,27543.0,l
50,18.262,28.0,1.8316,163.2653,1.3335,220.0,40.0545,163.0,16.7955,15.1836,7.1797,5.0,-14.0781,1202.5146,4.6818,59.8639,147.0,9.0324,13.2544,15.9577,44.5909,3.7816,0.4898,74.4117,42.043,51.0,28.0,27.0,165.0,195.0,302.0,1.7422,6.0,10.3125,-2.2578,11.5,118.8125,6.125,4.8281,5.0938,1202.8809,953.9185,25.5,0.6668,4.1875,21.9063,66.7656,0.3113666666666667,23295.0,r
51,18.812,33.0,1.8594,160.0,1.3884,221.0,41.0667,129.0,17.562,14.8008,9.4531,6.0,-8.4688,960.3271,4.7873,58.9333,154.0,9.5128,12.9961,15.6395,44.3891,3.8419,0.4677,73.7884,41.6452,50.0,33.0,10.0,178.0,202.0,295.0,0.9648,5.75,8.6875,-2.2852,11.25,121.3438,-7.2344,-0.8594,1.2656,995.1782,954.6509,24.5,0.6942,-2.6094,20.5625,69.0,0.4587833333333332,28289.0,l
