time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
13.477000000000317,530.0,2.2554,168.3029,1.5946,268.0,24.7191,181.0,10.006,6.9492,7.1992,8.0,-13.3594,1038.6353,3.3209,75.1753,88.0,2.7276,8.6917,13.5589,36.6045,4.7743,0.8116,80.0493,45.641,85.0,24.0,20.0,224.0,125.0,290.0,0.4844,4.3125,6.125,-2.4375,42.5,77.5625,-9.1719,-0.8125,-29.3438,1091.6138,635.9253,21.0,0.7973,1.6094,15.5781,69.8906,9.565933333333335,577710.0,l
14.078999999999724,521.0,2.2214,171.4286,1.5724,270.0,22.8571,184.0,7.2806,5.9531,4.1914,6.0,-15.0781,523.8037,3.1852,77.1429,80.0,2.2865,8.7436,13.89,36.3333,4.699,0.8429,80.4163,45.8752,98.0,32.0,36.0,202.0,134.0,266.0,0.1719,2.5,3.1875,-1.8516,41.75,69.0156,7.5313,1.6406,23.0781,625.4883,641.0522,20.5,0.7862,4.8906,19.1719,58.9063,9.580966666666658,574963.0,r
14.190000000000282,531.0,2.2456,170.697,1.5847,282.0,19.6581,159.0,9.4866,7.2344,6.1367,8.0,-15.2813,870.9717,2.9858,80.2276,69.0,1.6881,8.0633,13.6178,34.7872,4.7751,0.8855,80.4521,45.8981,95.0,24.0,23.0,235.0,109.0,282.0,1.0391,4.25,5.5625,-2.3438,42.0,84.6719,-8.1406,-1.7344,-22.0313,894.3481,725.0977,21.0,0.7924,2.8906,15.1875,75.8438,9.577816666666669,578423.0,l
14.778999999999767,522.0,2.2315,171.184,1.5758,265.0,24.2857,168.0,7.9356,7.6875,1.9688,6.0,-16.9375,511.4136,3.2906,75.6063,85.0,2.5754,8.9809,13.9834,37.0189,4.7142,0.8305,80.791,46.1144,101.0,42.0,22.0,201.0,123.0,279.0,0.7344,2.0625,3.3125,-1.8516,41.75,71.0,10.1875,-0.6406,26.5313,638.4277,644.7754,20.5,0.7879,7.1563,21.3125,60.3281,9.592633333333325,575663.0,r
14.893000000000256,532.0,2.2094,169.4915,1.5584,284.0,19.774,165.0,14.0786,10.7344,9.1094,7.0,-13.0469,1078.064,2.9859,80.226,70.0,1.7667,8.0572,13.4261,34.5423,4.6938,0.8571,79.0309,44.991,83.0,26.0,20.0,238.0,121.0,280.0,0.957,4.75,6.125,-2.207,42.0,84.9063,-8.3281,-2.25,-24.1875,1141.4185,668.1519,21.0,0.7792,-0.375,16.6875,75.2656,9.589533333333335,579126.0,l
15.47999999999979,523.0,2.2449,169.4915,1.5858,267.0,24.5763,159.0,7.458,6.0625,4.3438,6.0,-16.5469,533.5693,3.3034,75.4237,87.0,2.6808,8.7985,13.7261,36.7416,4.7482,0.817,80.2438,45.7651,99.0,28.0,38.0,201.0,131.0,271.0,0.0313,2.4375,3.1875,-1.8281,41.75,72.7031,9.3594,2.5313,24.1563,650.3906,644.2261,20.5,0.7929,8.4219,19.2188,60.2344,9.60431666666666,576364.0,r
15.601000000000226,533.0,2.1995,168.3029,1.5518,266.0,25.2809,150.0,8.5164,6.1016,5.9414,11.0,-13.5781,851.6846,3.3609,74.6143,90.0,2.9312,8.9619,13.6181,36.8797,4.6424,0.7844,78.9828,44.9603,97.0,10.0,22.0,234.0,115.0,290.0,0.5586,5.3125,7.75,-2.6367,42.0,81.4688,-5.4688,1.8125,-23.875,885.7422,717.2852,21.0,0.7759,0.5156,7.0625,73.1875,9.601333333333336,579834.0,l
16.187999999999647,524.0,2.2382,170.9402,1.5758,275.0,21.6524,160.0,7.0475,6.3789,2.9961,6.0,-15.5313,561.0962,3.1055,78.3476,76.0,2.0594,8.4266,13.7326,35.6727,4.7459,0.8595,80.44,45.8903,95.0,28.0,40.0,207.0,129.0,269.0,0.5,3.0,4.5625,-1.3672,41.25,74.7656,10.3594,-0.4219,24.5156,611.2671,622.2534,20.5,0.7879,7.1563,20.5469,60.1875,9.616116666666658,577072.0,r
16.314000000000306,534.0,2.193,171.6738,1.5486,281.0,19.4842,199.0,10.3352,8.7031,5.5742,8.0,-13.875,810.6689,2.9751,80.4006,68.0,1.6779,8.2919,13.77,34.911,4.6505,0.8737,79.723,45.4327,95.0,23.0,24.0,234.0,114.0,278.0,1.0156,4.375,5.9375,-2.1016,43.5,83.0,-7.4375,-0.7188,-24.0938,835.4492,733.4595,21.0,0.7743,1.4375,13.8438,75.8906,9.613216666666668,580547.0,l
16.889999999999645,525.0,2.2415,169.0141,1.5791,277.0,21.9718,149.0,7.4105,5.8516,4.5469,6.0,-14.0781,568.9087,3.1264,78.0282,78.0,2.1645,8.2805,13.443,35.4152,4.757,0.8412,79.6791,45.4047,93.0,30.0,34.0,213.0,125.0,273.0,0.4023,2.75,3.1875,-1.8516,41.25,75.25,10.5781,4.2813,27.0625,660.7666,653.0151,20.5,0.7895,6.6563,19.9219,64.0625,9.627816666666655,577774.0,r
17.01300000000026,535.0,2.2061,166.205,1.5617,284.0,21.3296,197.0,9.1456,6.6914,6.2344,9.0,-16.0156,864.8682,3.0845,78.6704,77.0,2.1329,7.9987,12.9661,34.5423,4.6861,0.8103,77.5966,44.0756,87.0,26.0,24.0,234.0,111.0,286.0,0.2461,3.8125,3.9375,-2.2813,42.5,79.375,-7.8906,0.3125,-24.5781,867.981,695.4956,21.0,0.7809,2.625,12.2188,75.7031,9.624866666666668,581246.0,l
