YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate,Manual_Foot,Manual_Contact_Time,Manual_Start_Time
r,200.1000500250178,26.91345672836418,38.0,r,26.77700000000001,40.0,220.0,7.0,191.0,170.9402,0.7337001834250465,163.5545454545453,166.0,0.0,98.0,r,0.2001000500250178,26.91345672836418
l,200.1000500250143,27.296981824245456,39.0,l,27.350000000000023,42.0,226.0,6.0,212.0,166.6667,0.7170251792563036,167.35813953488167,166.0,0.0,98.0,l,0.2001000500250143,27.296981824245456
r,183.4250458562607,27.647156911789228,39.0,r,27.479000000000017,41.0,228.0,7.0,201.0,167.1309,0.7003501750875429,171.34285714285733,166.0,0.0,99.0,r,0.1834250458562607,27.647156911789228
l,200.1000500250036,28.01400700350176,40.0,l,28.07000000000002,43.0,231.0,5.0,234.0,169.2525,0.7003501750875358,171.3428571428591,166.0,0.0,99.0,l,0.2001000500250072,28.01400700350176
r,200.1000500250143,28.34750708687677,40.0,r,28.19700000000002,42.0,223.0,8.0,227.0,165.7459,0.7337001834250465,163.5545454545453,166.0,0.0,99.0,r,0.2001000500250143,28.34750708687677
l,200.1000500250107,28.714357178589296,41.0,l,28.779000000000025,44.0,226.0,6.0,248.0,167.8322,0.7337001834250465,163.5545454545453,166.0,0.0,99.0,l,0.2001000500250107,28.714357178589296
r,183.4250458562643,29.081207270301817,41.0,r,28.921000000000017,43.0,230.0,8.0,242.0,169.4915,0.7003501750875429,171.34285714285733,166.0,0.0,99.0,r,0.1834250458562643,29.081207270301817
l,200.1000500250178,29.448057362014342,42.0,l,29.494000000000028,45.0,234.0,5.0,235.0,165.7459,0.7003501750875429,171.34285714285733,166.0,0.0,99.0,l,0.2001000500250143,29.448057362014342
r,200.1000500250107,29.78155744538936,42.0,r,29.629000000000023,44.0,223.0,8.0,235.0,166.6667,0.7337001834250465,163.5545454545453,166.0,0.0,100.0,r,0.2001000500250107,29.78155744538936
l,200.1000500250107,30.148407537101885,43.0,l,30.218000000000025,46.0,236.0,6.0,234.0,165.9751,0.7170251792562929,167.35813953488417,166.0,0.0,100.0,l,0.2001000500250107,30.148407537101885
r,183.4250458562607,30.515257628814407,43.0,r,30.34900000000002,45.0,227.0,7.0,229.0,169.0141,0.7170251792562965,167.35813953488332,166.0,0.0,100.0,r,0.1834250458562607,30.515257628814407
l,216.7750541937643,30.86543271635818,44.0,l,30.941000000000024,47.0,226.0,6.0,226.0,167.364,0.7337001834250465,163.5545454545453,166.0,0.0,100.0,l,0.2167750541937643,30.86543271635818
r,183.4250458562607,31.232282808070703,44.0,r,31.059000000000022,46.0,227.0,8.0,241.0,166.4355,0.7170251792562965,167.35813953488332,166.0,0.0,100.0,r,0.1834250458562607,31.232282808070703
l,200.1000500250143,31.599132899783225,45.0,l,31.65800000000003,48.0,229.0,6.0,244.0,165.7459,0.7170251792562929,167.35813953488417,166.0,0.0,100.0,l,0.2001000500250143,31.599132899783225
r,200.1000500250107,31.949307987327,45.0,r,31.780000000000022,47.0,221.0,10.0,233.0,165.7459,0.7170251792562929,167.35813953488417,166.0,0.0,100.0,r,0.2001000500250107,31.949307987327
l,200.1000500250143,32.31615807903952,46.0,l,32.38200000000002,49.0,234.0,5.0,234.0,168.3029,0.7337001834250501,163.55454545454452,166.0,0.0,100.0,l,0.2001000500250143,32.31615807903952
r,200.1000500250143,32.66633316658329,46.0,r,32.50400000000002,48.0,227.0,9.0,218.0,167.1309,0.7170251792562965,167.35813953488332,166.0,0.0,100.0,r,0.2001000500250143,32.66633316658329
l,200.1000500250143,33.04985826246457,47.0,l,33.09500000000001,50.0,230.0,6.0,203.0,166.6667,0.6836751709187894,175.52195121951306,166.0,0.0,100.0,l,0.2001000500250143,33.04985826246457
r,200.1000500250072,33.38335834583959,47.0,r,33.22200000000002,49.0,233.0,7.0,207.0,166.205,0.7003501750875429,171.34285714285733,166.0,0.0,100.0,r,0.2001000500250072,33.38335834583959
l,200.1000500250143,33.73353343338336,48.0,l,33.81500000000002,51.0,226.0,6.0,188.0,165.5172,0.7337001834250501,163.55454545454452,166.0,0.0,102.0,l,0.2001000500250143,33.73353343338336
r,200.1000500250143,34.08370852092713,48.0,r,33.94400000000003,50.0,224.0,10.0,182.0,166.6667,0.733700183425043,163.55454545454612,166.0,0.0,102.0,r,0.2001000500250143,34.08370852092713
l,183.4250458562607,34.46723361680841,49.0,l,34.54000000000001,52.0,228.0,5.0,151.0,163.7108,0.7170251792562894,167.358139534885,166.0,0.0,102.0,l,0.1834250458562607,34.46723361680841
r,200.1000500250143,34.817408704352175,49.0,r,34.66400000000003,51.0,232.0,7.0,156.0,165.7459,0.7170251792562965,167.35813953488332,166.0,0.0,105.0,r,0.2001000500250143,34.817408704352175
l,200.1000500250143,35.1842587960647,50.0,l,35.27300000000002,53.0,231.0,6.0,145.0,166.205,0.7337001834250501,163.55454545454452,166.0,0.0,105.0,l,0.2001000500250143,35.1842587960647
r,200.1000500250143,35.53443388360847,50.0,r,35.38800000000002,52.0,232.0,8.0,176.0,166.205,0.7337001834250501,163.55454545454452,166.0,0.0,105.0,r,0.2001000500250143,35.53443388360847
l,200.1000500250143,35.91795897948975,51.0,l,,,,,,,0.733700183425043,163.55454545454612,166.0,0.0,105.0,l,0.2001000500250143,35.91795897948975
