timestamp,cadence,gct,heart_rate,timestamp.1,index
1709309439,190,0,149,1709309708,349
1709309440,190,0,149,1709309709,350
1709309441,192,0,150,1709309710,351
1709309442,192,0,151,1709309711,352
1709309443,192,0,151,1709309712,353
1709309444,192,0,151,1709309713,354
1709309445,192,0,151,1709309714,355
1709309446,192,0,151,1709309715,356
1709309447,192,0,151,1709309716,357
1709309448,192,0,151,1709309717,358
1709309449,192,0,151,1709309718,359
1709309450,192,0,151,1709309719,360
1709309451,192,0,151,1709309720,361
1709309452,192,0,151,1709309721,362
1709309453,192,0,151,1709309722,363
1709309454,192,0,150,1709309723,364
1709309455,192,0,150,1709309724,365
1709309456,192,0,150,1709309725,366
1709309457,192,0,149,1709309726,367
1709309458,192,0,149,1709309727,368
1709309459,192,0,149,1709309728,369
1709309460,192,0,150,1709309729,370
1709309461,192,0,151,1709309730,371
1709309462,192,0,151,1709309731,372
1709309463,192,0,151,1709309732,373
1709309464,192,0,151,1709309733,374
1709309465,192,0,151,1709309734,375
1709309466,192,0,151,1709309735,376
1709309467,190,0,151,1709309736,377
1709309468,190,0,151,1709309737,378
1709309469,190,0,151,1709309738,379
1709309470,192,0,151,1709309739,380
1709309471,190,0,151,1709309740,381
1709309472,190,0,151,1709309741,382
1709309473,192,0,151,1709309742,383
1709309474,192,0,151,1709309743,384
1709309475,192,0,151,1709309744,385
1709309476,192,0,151,1709309745,386
1709309477,192,0,151,1709309746,387
1709309478,192,0,151,1709309747,388
1709309479,192,0,151,1709309748,389
1709309480,192,0,151,1709309749,390
1709309481,192,0,151,1709309750,391
1709309482,192,0,151,1709309751,392
1709309483,190,0,151,1709309752,393
1709309484,190,0,151,1709309753,394
1709309485,190,0,151,1709309754,395
1709309486,190,0,150,1709309755,396
1709309487,190,0,150,1709309756,397
1709309488,190,0,150,1709309757,398
1709309489,190,0,149,1709309758,399
1709309490,190,0,149,1709309759,400
1709309491,190,0,149,1709309760,401
1709309492,190,0,149,1709309761,402
1709309493,190,0,149,1709309762,403
1709309494,192,0,149,1709309763,404
1709309495,190,0,149,1709309764,405
1709309496,190,0,149,1709309765,406
1709309497,190,0,149,1709309766,407
1709309498,190,0,149,1709309767,408
1709309499,190,0,149,1709309768,409
1709309500,190,0,149,1709309769,410
1709309501,190,0,149,1709309770,411
1709309502,192,0,149,1709309771,412
1709309503,192,0,149,1709309772,413
1709309504,192,0,149,1709309773,414
1709309505,192,0,149,1709309774,415
1709309506,194,0,149,1709309775,416
1709309507,192,0,149,1709309776,417
1709309508,192,0,149,1709309777,418
1709309509,192,0,150,1709309778,419
1709309510,192,0,151,1709309779,420
1709309511,192,0,151,1709309780,421
1709309512,192,0,151,1709309781,422
1709309513,192,0,151,1709309782,423
1709309514,192,0,151,1709309783,424
1709309515,192,0,151,1709309784,425
1709309516,192,0,151,1709309785,426
1709309517,192,0,151,1709309786,427
1709309518,192,0,151,1709309787,428
1709309519,192,0,151,1709309788,429
1709309520,192,0,151,1709309789,430
1709309521,190,0,151,1709309790,431
1709309522,190,0,151,1709309791,432
1709309523,190,0,151,1709309792,433
1709309524,192,0,151,1709309793,434
1709309525,190,0,151,1709309794,435
1709309526,190,0,151,1709309795,436
1709309527,190,0,151,1709309796,437
1709309528,190,0,151,1709309797,438
1709309529,190,0,151,1709309798,439
1709309530,190,0,151,1709309799,440
1709309531,190,0,152,1709309800,441
1709309532,190,0,152,1709309801,442
1709309533,190,0,152,1709309802,443
1709309534,192,0,151,1709309803,444
1709309535,190,0,151,1709309804,445
1709309536,190,0,151,1709309805,446
1709309537,190,0,151,1709309806,447
1709309538,190,0,150,1709309807,448
1709309539,190,0,150,1709309808,449
1709309540,192,0,149,1709309809,450
1709309541,192,0,149,1709309810,451
1709309542,192,0,149,1709309811,452
1709309543,192,0,149,1709309812,453
1709309544,192,0,149,1709309813,454
1709309545,192,0,149,1709309814,455
1709309546,192,0,150,1709309815,456
1709309547,192,0,151,1709309816,457
1709309548,192,0,151,1709309817,458
1709309549,192,0,151,1709309818,459
1709309550,192,0,151,1709309819,460
1709309551,192,0,151,1709309820,461
1709309552,192,0,151,1709309821,462
1709309553,190,0,151,1709309822,463
1709309554,190,0,151,1709309823,464
1709309555,190,0,151,1709309824,465
1709309556,190,0,151,1709309825,466
1709309557,190,0,151,1709309826,467
1709309558,190,0,151,1709309827,468
1709309559,188,0,151,1709309828,469
1709309560,188,0,151,1709309829,470
1709309561,188,0,151,1709309830,471
1709309562,190,0,151,1709309831,472
1709309563,188,0,151,1709309832,473
1709309564,188,0,151,1709309833,474
1709309565,188,0,152,1709309834,475
1709309566,188,0,152,1709309835,476
1709309567,188,0,151,1709309836,477
1709309568,188,0,151,1709309837,478
1709309569,188,0,152,1709309838,479
1709309570,188,0,151,1709309839,480
1709309571,188,0,151,1709309840,481
1709309572,188,0,151,1709309841,482
1709309573,188,0,151,1709309842,483
1709309574,190,0,151,1709309843,484
1709309575,190,0,152,1709309844,485
1709309576,190,0,152,1709309845,486
1709309577,188,0,152,1709309846,487
1709309578,188,0,152,1709309847,488
1709309579,188,0,152,1709309848,489
1709309580,190,0,152,1709309849,490
1709309581,190,0,152,1709309850,491
1709309582,190,0,152,1709309851,492
1709309583,190,0,152,1709309852,493
1709309584,192,0,152,1709309853,494
1709309585,192,0,152,1709309854,495
1709309586,194,0,152,1709309855,496
1709309587,192,0,152,1709309856,497
1709309588,192,0,152,1709309857,498
1709309589,192,0,152,1709309858,499
1709309590,192,0,152,1709309859,500
1709309591,192,0,152,1709309860,501
1709309592,192,0,152,1709309861,502
1709309593,190,0,152,1709309862,503
1709309594,190,0,152,1709309863,504
1709309595,190,0,152,1709309864,505
